exon_num	whole_gene_len	5UTR_len	3UTR_len	CDS_len	last_CDS_len
HUWE1	84	14739	403	1211	13125	103
PHF8	22	6062	505	2482	3075	89
FAM120C	16	8057	57	4709	3291	255
WNK3	24	11341	439	5499	5403	330
ITIH6	13	4968	30	996	3942	212
LINC01420	4	896	113	576	207	320
FAAH2	11	1983	120	264	1599	176
ARHGEF9	12	5682	1181	3013	1488	182
ASB12	3	1289	193	139	957	134
MTMR8	14	2639	68	456	2115	507
HEPH	21	6013	179	2195	3639	233
AR	9	10676	1685	6777	2214	156
STARD8	15	4841	115	1414	3312	118
EDA	8	5278	242	3860	1176	252
KIF4A	31	4348	82	567	3699	204
TEX11	31	3133	156	154	2823	93
TAF1	39	7722	76	1958	5688	223
OGT	22	5461	217	2103	3141	175
NHSL2	8	13660	270	9712	3678	322
PIN4	4	1605	35	1168	402	90
ERCC6L	3	4344	603	357	3384	3685
PHKA1	33	4476	378	375	3723	174
DMRTC1	6	1190	280	331	579	113
CHIC1	6	4158	77	3406	675	51
KIAA2022	5	10624	245	5828	4551	94
ABCB7	16	2377	25	90	2262	216
MAGT1	10	4047	87	2856	1104	16
ATP7A	23	8483	155	3825	4503	277
PGK1	11	4887	167	3466	1254	41
FAM46D	5	3106	334	1602	1170	1188
HMGN5	7	2126	329	948	849	582
SH3BGRL	4	1923	258	1320	345	33
RPS6KA6	22	8169	0	5931	2238	126
HDX	11	2924	159	692	2073	126
APOOL	10	6466	36	5638	792	89
POF1B	17	3941	146	2025	1770	6
DACH2	12	2418	163	539	1716	5
KLHL4	11	5818	145	3516	2157	60
PCDH19	6	9756	1676	4633	3447	599
XKRX	3	2848	605	893	1350	746
NXF5	18	1991	289	508	1194	14
NXF2B	27	2884	800	203	1881	45
MORF4L2	4	1824	292	665	867	891
TMSB15B	4	1666	1117	411	138	38
RP11-722G7.1	3	2286	72	1971	243	143
SERPINA7	5	1600	58	294	1248	204
MUM1L1	5	4308	785	1432	2091	2305
TBC1D8B	21	5717	174	2180	3363	396
RBM41	8	2579	27	1334	1218	5
PIH1D3	8	1926	337	944	645	130
TSC22D3	4	2213	312	1298	603	231
MID2	10	2876	548	120	2208	403
ATG4A	13	2315	159	959	1197	71
COL4A6	46	6750	234	1392	5124	261
COL4A5	53	6483	244	1163	5076	82
GUCY2F	20	3714	292	95	3327	88
ACSL4	17	5333	505	2692	2136	158
AMMECR1	8	3380	637	2110	633	115
CHRDL1	12	3860	132	2375	1353	131
DCX	8	3019	100	1818	1101	57
TRPC5	11	5839	919	1998	2922	690
HTR2C	7	3288	819	1092	1377	827
LRCH2	21	4929	31	2600	2298	120
PLS3	18	2277	226	197	1854	133
KLHL13	8	3071	0	1094	1977	488
WDR44	20	4111	395	974	2742	95
DOCK11	53	6664	74	356	6234	120
IL13RA1	11	4036	67	2685	1284	93
LONRF3	12	2898	721	665	1512	156
KIAA1210	14	7824	0	2694	5130	176
SLC25A43	5	2783	344	1413	1026	201
SEPT6	11	2609	265	1060	1284	4
NKAP	9	5963	167	4548	1248	175
LAMP2	9	2089	196	657	1236	143
CT47A2	3	1298	259	172	867	125
GRIA3	17	2991	165	351	2475	36
XIAP	7	8415	126	6795	1494	194
STAG2	35	5218	510	901	3807	24
SMARCA1	25	4099	130	804	3165	135
XPNPEP2	21	3270	192	1053	2025	195
AIFM1	17	2468	231	1262	975	8
ENOX2	16	4263	501	1929	1833	132
IGSF1	27	5413	1144	285	3984	136
MBNL3	9	1575	79	491	1005	57
HS6ST2	6	2607	416	253	1938	871
USP26	6	3665	470	453	2742	2818
GPC4	9	4960	525	2764	1671	203
GPC3	9	2379	197	370	1812	170
HPRT1	9	1407	159	591	657	48
PLAC1	3	1131	286	206	639	697
INTS6L	17	3793	334	873	2586	109
FHL1	8	2706	329	1405	972	84
ARHGEF6	22	6019	1206	2482	2331	141
FGF13	7	1165	250	147	768	137
Z83313.1	5	681	0	0	681	137
MCF2	29	3346	166	174	3006	33
ATP11C	30	6115	99	2617	3399	102
MAMLD1	8	4854	310	2219	2325	41
MTM1	15	3593	54	1727	1812	168
MTMR1	16	2755	157	600	1998	165
CD99L2	12	3742	228	2695	819	68
PASD1	16	3163	245	596	2322	147
GABRA3	10	3712	239	1994	1479	336
MAGEA3	3	1724	209	570	945	1010
CETN2	5	1454	67	868	519	90
ZNF185	24	4421	48	2207	2166	99
HAUS7	10	1363	44	212	1107	32
L1CAM	29	5113	190	1149	3774	232
OPN1MW3	6	1998	82	821	1095	111
TEX28	5	1549	166	150	1233	357
DNASE1L1	10	3008	630	1469	909	135
G6PD	13	2631	384	609	1638	91
MPP1	13	2195	393	491	1311	177
F8	26	9059	201	1802	7056	156
FUNDC2	5	6455	254	5631	570	78
CLIC2	6	2655	219	1692	744	162
TMLHE	8	2832	146	1420	1266	132
PLCXD1	8	5287	297	4018	972	239
GTPBP6	10	1907	32	324	1551	124
PPP2R3B	13	2151	19	404	1728	151
CRLF2	9	1545	3	426	1116	264
CSF2RA	14	1955	194	456	1305	78
IL3RA	12	1706	349	220	1137	75
SLC25A6	4	2062	715	450	897	158
P2RY8	2	4198	211	2907	1080	1104
AKAP17A	5	3204	196	920	2088	936
ASMT	9	1388	199	67	1122	212
CD99	11	1243	174	586	483	8
GYG2	12	3393	282	1605	1506	162
ARSD	10	5159	76	3301	1782	362
ARSE	12	2506	461	200	1845	359
ARSF	11	2164	221	170	1773	383
MXRA5	7	9793	155	1151	8487	1909
VCX3A	5	812	307	88	417	39
VCX	6	812	307	88	417	39
PNPLA4	7	3372	171	2439	762	132
VCX2	3	815	307	88	420	318
VCX3B	5	812	307	88	417	39
FAM9A	10	1544	136	409	999	69
FAM9B	9	1340	365	414	561	69
GPR143	9	1762	147	400	1215	95
CLDN34	1	995	0	350	645	645
HCCS	7	2277	202	1268	807	199
AMELX	7	835	68	149	618	6
MSL3	13	2345	105	674	1566	100
PRPS2	7	2511	128	1426	957	93
TLR7	3	5011	139	1722	3150	3147
TLR8	3	3367	151	36	3180	3123
FAM9C	8	1122	210	411	501	63
ATXN3L	3	837	18	333	486	24
TCEANC	2	2988	87	1845	1056	1064
RAB9A	3	2039	279	1154	606	632
TRAPPC2	6	2776	193	2160	423	99
FANCB	10	3008	268	160	2580	415
MOSPD2	15	4163	88	2518	1557	138
ASB9	8	1947	484	674	789	221
ASB11	7	2748	19	1808	921	125
VEGFD	7	2037	430	542	1065	127
TMEM27	6	1578	256	653	669	157
CA5B	8	6835	136	5745	954	180
ZRSR2	11	1491	24	18	1449	512
AP1S2	6	810	327	0	483	48
GRPR	3	1929	398	376	1155	390
MAGEB17	3	1379	297	71	1011	1060
S100G	3	455	54	161	240	105
SYAP1	9	6129	93	4977	1059	128
TXLNG	10	4401	61	2753	1587	339
RBBP7	12	2333	361	694	1278	69
SCML1	8	1997	328	679	990	135
RS1	6	2810	41	2094	675	153
PHKA2	33	5559	666	1185	3708	171
PDHA1	12	3484	145	2052	1287	165
EIF1AX	7	4427	204	3788	435	6
KLHL34	1	3641	542	1164	1935	2477
MBTPS2	11	4428	99	2769	1560	223
YY2	1	2741	498	1124	1119	1617
SMS	11	1837	252	484	1101	40
ZNF645	1	1519	49	192	1278	1327
DDX53	1	3629	97	1636	1896	1993
PTCHD1	3	2286	409	1106	771	735
PRDX4	7	1005	125	64	816	51
SAT1	6	1065	179	370	516	171
CXorf58	9	1752	549	204	999	60
EIF2S3	12	2858	253	1186	1419	64
ZFX	11	7558	427	4713	2418	1184
ARX	5	2876	211	976	1689	241
MAGEB18	3	1811	187	592	1032	1094
MAGEB6P1	1	1224	0	0	1224	1224
MAGEB6	2	1949	149	576	1224	1285
MAGEB5	2	1216	247	141	828	1045
PPP4R3CP	1	3131	45	587	2499	2544
MAGEB10	3	1953	245	664	1044	1093
DCAF8L1	1	3457	115	1539	1803	1918
MAGEB2	2	1610	101	549	960	965
MAGEB3	5	2305	737	527	1041	1102
MAGEB4	1	2142	84	1017	1041	1125
MAGEB1	4	1866	321	501	1044	1104
NR0B1	2	2021	235	373	1413	245
CXorf21	3	1855	323	626	906	907
FTHL17	1	813	100	161	552	652
FAM47A	2	2518	36	145	2337	846
TMEM47	3	4054	259	3249	546	179
FAM47B	1	2120	36	146	1938	1974
MAGEB16	3	1736	197	564	975	1041
FAM47C	1	3270	14	148	3108	3122
XK	3	5206	203	3668	1335	827
CYBB	13	4324	67	2544	1713	127
DYNLT3	6	920	4	457	459	146
HYPM	1	501	23	124	354	377
SRPX	10	1874	107	372	1395	184
MID1IP1	3	3781	2199	1030	552	816
ATP6AP2	9	2337	191	1093	1053	195
MPC1L	1	571	0	160	411	411
MED14	31	7984	119	3500	4365	74
DDX3X	19	3237	905	130	2202	69
NYX	3	2297	98	753	1446	1409
GPR34	4	1282	277	0	1005	1031
GPR82	3	3349	240	2098	1011	1045
AL023875.1	1	375	0	0	375	375
PPP1R2P9	1	880	168	103	609	777
MAOA	16	5438	1942	2311	1185	147
NDP	3	1833	408	1023	402	228
FUNDC1	5	1196	169	559	468	78
DUSP21	1	885	129	183	573	702
CXorf36	5	4655	75	3278	1302	341
KRBOX4	7	993	194	502	297	44
CHST7	2	2289	148	680	1461	1609
RP2	5	3803	161	2589	1053	84
RGN	8	2257	990	367	900	51
NDUFB11	3	1388	825	101	462	124
UBA1	26	3466	90	199	3177	136
CDK16	17	2968	396	1225	1347	38
USP11	21	3515	354	398	2763	138
ZNF157	4	2318	86	711	1521	1226
ARAF	16	2504	211	463	1830	135
TIMP1	6	892	170	98	624	171
CFP	10	1713	242	61	1410	166
ELK1	7	2258	309	662	1287	99
UXT	7	574	56	44	474	54
AL022578.1	1	841	10	99	732	742
ZNF182	7	3586	351	1315	1920	1631
SPACA5	5	648	168	0	480	97
ZNF630	5	2829	567	288	1974	1736
SPACA5B	4	595	31	84	480	97
SSX5	9	1384	53	641	690	101
SSX1	8	1298	136	595	567	101
SSX3	8	1232	53	612	567	101
SSX4	8	1221	58	596	567	101
SSX4B	8	1221	58	596	567	101
SLC38A5	17	1993	178	396	1419	102
FTSJ1	14	1986	429	573	984	33
PORCN	14	1877	179	330	1368	102
EBP	5	1775	823	259	693	224
TBC1D25	6	4042	341	1634	2067	1362
RBM3	7	2162	63	1625	474	61
WDR13	10	5469	176	3835	1458	185
WAS	12	1849	75	265	1509	56
SUV39H1	6	2978	266	1440	1272	134
GLOD5	4	735	41	211	483	126
GATA1	6	1497	111	144	1242	372
HDAC6	29	4190	178	364	3648	69
ERAS	2	826	80	44	702	745
PCSK1N	3	1050	101	166	783	196
TIMM17B	8	1099	149	281	669	89
PQBP1	7	1056	200	58	798	157
SLC35A2	5	1672	223	258	1191	28
PIM2	6	2075	190	949	936	164
OTUD5	11	2487	324	534	1629	122
KCND1	6	4437	1298	1195	1944	226
GRIPAP1	26	3031	35	470	2526	93
TFE3	10	3415	260	1427	1728	444
CCDC120	11	2379	177	111	2091	115
PRAF2	3	1334	84	713	537	140
WDR45	12	1688	439	163	1086	110
GPKOW	11	1742	79	232	1431	135
AC231657.1	3	252	0	0	252	56
MAGIX	6	1238	0	233	1005	326
PLP2	5	1079	75	545	459	23
PRICKLE3	9	2062	95	119	1848	593
SYP	7	2498	73	1483	942	327
CACNA1F	48	5813	0	74	5739	231
CCDC22	17	2319	170	265	1884	114
FOXP3	12	2382	188	898	1296	150
GAGE10	5	538	93	94	351	23
GAGE12J	5	541	96	91	354	23
GAGE13	5	530	82	94	354	23
GAGE2E	4	403	72	0	331	126
GAGE12B	1	117	0	94	23	23
GAGE12C	5	527	82	91	354	23
GAGE12E	5	520	72	94	354	23
GAGE12F	5	527	82	91	354	23
GAGE12G	5	527	82	91	354	23
GAGE12H	5	527	82	91	354	23
GAGE1	5	564	116	94	354	23
GAGE2A	5	528	83	94	351	23
PAGE1	6	665	133	91	441	23
PAGE4	5	487	67	111	309	17
USP27X	1	2618	360	941	1317	1677
BMP15	2	1179	0	0	1179	851
NUDT10	3	2001	220	1286	495	1
CXorf67	1	1929	102	315	1512	1614
NUDT11	2	2385	152	1738	495	1
CENPVP3	1	864	0	0	864	864
RP11-141O19.1	1	1620	0	801	819	819
CENPVP1	1	1620	0	801	819	819
GSPT2	1	2802	196	719	1887	2083
MAGED1	14	2875	153	217	2505	378
MAGED4B	14	2618	142	202	2274	10
MAGED4	14	2669	195	200	2274	10
XAGE2	5	618	193	89	336	23
XAGE1A	4	614	280	88	246	23
XAGE1B	4	474	124	140	210	98
SSX7	8	1311	159	585	567	101
SSX2	9	1410	70	668	672	60
SSX2B	9	1410	70	668	672	60
SPANXN5	2	1316	753	344	219	144
XAGE5	5	478	66	85	327	23
XAGE3	5	489	60	93	336	23
FAM156B	4	2942	1611	689	642	759
GPR173	2	4485	491	2872	1122	1219
IQSEC2	15	6011	201	1343	4467	966
SMC1A	26	9930	340	5954	3636	84
RIBC1	8	1420	153	127	1140	82
HSD17B10	6	916	11	146	759	191
TSR2	5	1534	21	937	576	135
FGD1	18	4275	734	655	2886	306
GNL3L	16	2357	139	469	1749	83
MAGED2	15	1798	92	140	1566	435
TRO	14	1403	92	237	1074	280
PFKFB1	14	1929	71	442	1416	60
APEX2	6	3245	66	1622	1557	918
ALAS2	11	1936	86	125	1725	164
PAGE2B	5	456	60	111	285	17
PAGE2	5	551	104	111	336	17
FAM104B	4	1067	39	677	351	97
MTRNR2L10	1	1530	926	529	75	1001
PAGE5	5	741	245	103	393	17
PAGE3	5	745	309	94	342	23
MAGEH1	1	1462	270	532	660	930
USP51	2	4407	83	2188	2136	2185
FOXR2	1	1926	312	678	936	1248
RRAGB	11	1573	443	5	1125	98
KLF8	6	4821	486	3561	774	16
UBQLN2	1	4230	235	2120	1875	2110
SPIN3	2	4438	323	3338	777	779
SPIN2B	3	725	80	171	474	249
SPIN2A	3	966	321	171	474	249
ZXDB	1	5894	397	3085	2412	2809
NLRP2B	1	3194	0	3056	138	138
ZXDA	1	4113	400	1313	2400	2800
SPIN4	1	4117	525	2842	750	1275
AMER1	3	3688	273	1000	2415	58
ZC3H12B	5	7256	67	4678	2511	1421
LAS1L	14	2439	41	193	2205	127
MSN	13	3944	172	2038	1734	165
VSIG4	8	1834	109	525	1200	238
EDA2R	7	3418	57	2467	894	377
YIPF6	7	6741	744	5286	711	119
EFNB1	5	3314	780	1493	1041	413
PJA1	3	2115	294	453	1368	1075
FAM155B	3	4013	42	2552	1419	386
AWAT2	8	2124	6	1116	1002	155
OTUD6A	1	1689	34	788	867	901
IGBP1	7	1666	303	343	1020	149
DGAT2L6	7	1553	100	439	1014	155
AWAT1	7	1365	41	337	987	155
P2RY4	1	1595	140	357	1098	1238
ARR3	17	1292	51	74	1167	91
RAB41	8	1071	46	359	666	56
PDZD11	8	784	171	190	423	35
GDPD2	17	2438	361	304	1773	53
DLG3	21	6112	341	3221	2550	107
SLC7A3	12	2236	145	231	1860	131
SNX12	6	661	142	0	519	38
FOXO4	4	1353	0	0	1353	8
CXorf65	6	601	49	0	552	126
IL2RG	8	1534	92	332	1110	186
MED12	45	6977	658	235	6084	44
NLGN3	8	3319	167	2096	1056	165
GJB1	2	1587	94	641	852	868
ZMYM3	25	5536	131	1292	4113	193
NONO	13	1921	312	193	1416	135
ACRC	13	2791	114	601	2076	121
CXCR3	2	1861	164	449	1248	1339
RP11-402P6.15	6	1573	177	142	1254	22
CXorf49	6	1715	0	170	1545	41
CXorf49B	6	1715	0	170	1545	41
RGAG4	1	4105	288	2107	1710	1998
RPS4X	7	1526	105	629	792	102
CITED1	5	998	253	85	660	522
DMRTC1B	7	1197	195	423	579	113
RP1-172N19.1	3	465	100	125	240	28
RP11-69A21.2	3	433	70	123	240	28
RP11-192I24.1	3	463	100	123	240	28
LINC00684	3	453	100	125	228	28
PABPC1L2B	1	2197	126	1468	603	729
PABPC1L2A	1	2237	126	1508	603	729
NAP1L6	1	2044	198	1522	324	522
NAP1L2	1	2550	356	811	1383	1739
CDX4	3	1515	0	660	855	207
ZCCHC13	1	842	77	264	501	578
RLIM	5	3478	281	1322	1875	1622
UPRT	7	2186	167	1089	930	107
MAGEE2	1	2249	185	492	1572	1757
PBDC1	6	1201	203	296	702	293
MAGEE1	1	3630	207	549	2874	3081
FGF16	3	1650	270	756	624	246
COX7B	3	2471	116	2112	243	78
PGAM4	1	765	0	0	765	765
TAF9B	7	2713	95	1862	756	164
CYSLTR1	3	2576	293	1269	1014	1041
ZCCHC5	2	2648	296	924	1428	1656
LPAR4	5	2155	620	422	1113	1192
P2RY10	4	1714	280	414	1020	1033
GPR174	1	1258	36	220	1002	1038
ITM2A	6	1641	144	705	792	89
TBX22	9	2355	134	658	1563	614
POU3F4	1	3878	75	2717	1086	1161
SATL1	6	2192	561	104	1527	171
ZNF711	10	2887	508	93	2286	1178
CPXCR1	3	1630	259	465	906	914
TGIF2LX	2	906	108	72	726	747
PABPC5	2	1262	331	274	657	688
NAP1L3	2	2555	206	849	1500	1514
FAM133A	4	3159	313	2099	747	850
RPA4	1	1560	403	371	786	1189
TNMD	7	1339	217	168	954	210
TSPAN6	8	2206	112	1356	738	69
SYTL4	19	3885	332	1537	2016	149
CSTF2	15	2074	58	222	1794	123
NOX1	13	2529	206	628	1695	127
ARL13A	8	1102	113	218	771	27
TRMT2B	14	3078	467	1231	1380	127
TMEM35A	2	2195	283	1408	504	384
CENPI	21	3262	277	714	2271	135
DRP2	24	7018	268	3876	2874	125
TAF7L	13	2341	12	940	1389	45
TIMM8A	2	1664	532	838	294	162
BTK	19	2417	0	710	1707	6
RPL36A	5	910	112	369	429	21
RPL36A-HNRNPH2	5	562	32	173	357	57
GLA	7	1318	22	6	1290	291
HNRNPH2	2	2223	78	795	1350	1403
ARMCX4	2	7424	202	349	6873	7019
ARMCX1	4	2141	371	408	1362	1484
ARMCX6	4	1928	433	592	903	1049
ARMCX3	5	3730	866	1724	1140	1286
ARMCX2	6	2674	552	223	1899	2026
ZMAT1	7	3185	48	1220	1917	1312
TCEAL2	3	1100	219	197	684	711
TCEAL6	3	1106	250	304	552	576
BEX5	3	860	302	222	336	373
NXF2	23	2337	253	203	1881	45
TCP11X2	10	1747	329	194	1224	233
TMSB15A	3	685	136	411	138	38
ARMCX5	6	2899	881	341	1677	1939
GPRASP1	6	5980	813	979	4188	4522
GPRASP2	5	3935	1072	346	2517	2978
BHLHB9	4	4082	639	1799	1644	1941
RAB40AL	1	1029	47	145	837	884
BEX1	3	864	240	246	378	383
NXF3	20	1938	102	240	1596	12
BEX4	3	1328	235	730	363	368
TCEAL8	3	1222	237	631	354	392
TCEAL5	3	1168	295	252	621	648
BEX2	3	899	268	244	387	392
TCEAL7	3	1177	254	620	303	330
TCEAL9	3	1096	311	470	315	385
BEX3	3	921	365	250	306	318
RAB40A	3	1969	342	793	834	904
TCEAL4	5	1511	239	195	1077	675
TCEAL3	3	1221	358	260	603	625
TCEAL1	3	721	190	51	480	512
GLRA4	9	1795	421	120	1254	171
TMEM31	3	728	191	30	507	405
PLP1	8	3132	280	2018	834	72
RAB9B	3	3748	285	2857	606	648
H2BFWT	3	894	27	339	528	37
H2BFM	3	1882	28	1389	465	37
SLC25A53	2	6225	181	5120	924	955
ZCCHC18	3	2941	1206	523	1212	1890
FAM199X	6	7457	166	6124	1167	171
ESX1	4	1495	84	190	1221	669
TEX13A	3	1377	112	35	1230	795
CXorf57	14	3861	109	1184	2568	131
RNF128	7	2654	165	1280	1209	134
RIPPLY1	4	1172	30	686	456	160
CLDN2	2	3150	519	1938	693	871
NUP62CL	9	1755	252	948	555	25
FRMPD3	16	7304	0	1871	5433	3071
PRPS1	7	2073	122	994	957	93
NCBP2L	2	660	198	0	462	534
TEX13B	3	1248	93	216	939	480
VSIG1	8	3236	161	1803	1272	334
PSMD10	6	878	22	523	333	8
RP6-24A23.6	2	563	0	449	114	5
IRS4	1	3928	65	89	3774	3839
NXT2	5	2692	102	1996	594	182
KCNE5	1	1473	152	892	429	581
RGAG1	4	5426	246	1013	4167	120
CAPN6	13	3568	168	1474	1926	183
LINC00890	3	4595	1056	3269	270	1056
ALG13	27	4133	69	650	3414	266
TRPC5OS	4	1043	684	23	336	646
ZCCHC16	1	2613	229	1451	933	1162
LHFPL1	4	1675	240	772	663	182
AMOT	12	6888	796	4064	2028	98
IL13RA2	11	1498	250	105	1143	27
RBMXL3	1	3442	15	223	3204	3219
LUZP4	4	1701	7	752	942	600
AGTR2	3	2882	190	1600	1092	1127
SLC6A14	14	4520	88	2503	1929	147
CT83	2	548	147	59	342	267
ZCCHC12	4	2231	507	515	1209	1323
RP13-347D8.7	3	1147	0	172	975	122
PGRMC1	3	1911	111	1212	588	104
SLC25A5	4	1274	116	261	897	158
CXorf56	7	2372	272	1578	522	63
UBE2A	6	1874	245	1170	459	129
NKRF	4	3351	222	1011	2118	1958
SOWAHD	1	1552	55	549	948	1003
RPL39	3	401	67	178	156	49
UPF3B	11	2378	70	856	1452	150
RNF113A	1	1353	214	107	1032	1246
NDUFA1	3	766	425	128	213	21
AKAP14	7	977	274	109	594	100
RHOXF2B	4	2864	153	1844	867	330
RHOXF1	3	769	75	139	555	111
RHOXF2	4	2900	190	1843	867	330
ZBTB33	3	2346	327	0	2019	2021
TMEM255A	10	3394	124	2220	1050	159
ATP1B4	8	3868	57	2737	1074	162
CUL4B	22	3264	402	120	2742	96
MCTS1	6	1018	257	215	546	82
C1GALT1C1	3	1492	256	279	957	962
CT47B1	3	1328	259	169	900	125
RP1-321E8.5	2	291	0	166	125	125
CT47A12	2	1165	259	39	867	125
CT47A11	3	1294	255	172	867	125
CT47A10	3	1298	259	172	867	125
CT47A9	3	1298	259	172	867	125
CT47A8	3	1298	259	172	867	125
CT47A7	3	1288	255	166	867	125
CT47A6	3	1298	259	172	867	125
CT47A5	3	1298	259	172	867	125
CT47A4	3	1298	259	172	867	125
CT47A3	3	1298	259	172	867	125
CT47A1	3	1288	259	162	867	125
GLUD2	1	2493	97	719	1677	1774
TEX13D	1	4203	258	1800	2145	2403
SH2D1A	4	2450	299	1764	387	41
TEX13C	1	5095	0	2113	2982	2982
DCAF12L2	1	2599	173	1034	1392	1565
DCAF12L1	2	3382	243	1747	1392	1635
PRR32	2	1228	80	251	897	877
ACTRT1	1	1437	192	114	1131	1323
OCRL	24	5162	165	2291	2706	125
APLN	3	3205	307	2664	234	167
SASH3	8	2626	114	1369	1143	191
ZDHHC9	11	4569	392	3082	1095	117
UTP14A	15	2488	28	144	2316	273
ELF4	10	3878	102	1787	1989	759
RAB33A	2	1258	414	130	714	456
ZNF280C	19	4634	154	2266	2214	16
SLC25A14	12	1734	261	411	1062	42
GPR119	1	1008	0	0	1008	1008
RBMX2	6	1528	64	495	969	488
OR13H1	1	927	0	0	927	927
STK26	13	1835	216	302	1317	25
RAP2C	6	3341	389	2598	354	279
TFDP3	1	1680	89	373	1218	1307
CCDC160	3	1790	383	429	978	1002
PHF6	11	4489	261	3130	1098	130
FAM122B	11	2706	262	1718	726	70
FAM122C	7	1368	406	374	588	146
MOSPD1	6	2364	187	1535	642	32
SMIM10	1	1536	158	1126	252	410
FAM127C	1	2026	70	1614	342	412
FAM127A	1	1181	18	821	342	360
FAM127B	1	1244	67	835	342	409
SMIM10L2B	2	2737	1	2499	237	238
LINC00633	3	681	374	127	180	229
CT55	6	1445	227	423	795	70
RP13-210D15.4	3	607	325	102	180	229
ZNF75D	7	5592	2710	1349	1533	710
RP13-210D15.9	1	180	0	0	180	180
ZNF449	5	3773	140	2076	1557	884
SMIM10L2A	2	5230	189	4804	237	426
CT45A1	5	1007	244	193	570	58
CT45A3	5	855	90	195	570	58
CT45A5	5	1161	85	506	570	58
CT45A6	5	878	152	156	570	58
CT45A2	5	1008	245	193	570	58
CT45A7	5	996	233	193	570	58
CT45A8	5	1008	245	193	570	58
CT45A9	5	1010	245	195	570	58
CT45A10	5	1010	245	195	570	58
SAGE1	20	2952	74	163	2715	100
MMGT1	4	3738	388	2954	396	160
SLC9A6	19	4691	198	2543	1950	273
MAP7D3	19	4567	221	1715	2631	66
BRS3	3	2833	228	1405	1200	414
HTATSF1	10	3019	422	329	2268	1206
VGLL1	5	1215	170	268	777	89
CD40LG	5	1817	56	975	786	377
RBMX	9	2012	155	681	1176	311
GPR101	1	1527	0	0	1527	1527
ZIC3	3	3469	550	1515	1404	180
F9	8	2780	7	1387	1386	548
CXorf66	3	1281	24	171	1086	844
SOX3	1	2132	56	735	1341	1397
CDR1	1	2467	505	1173	789	1294
SPANXB1	2	469	103	54	312	222
LDOC1	1	1381	104	836	441	545
SPANXC	2	387	39	54	294	222
SPANXA1	2	691	333	64	294	222
SPANXA2	2	691	333	64	294	222
SPANXD	2	682	334	54	294	222
MAGEC3	8	1932	0	0	1932	204
MAGEC1	4	4270	286	555	3429	3425
MAGEC2	3	1991	348	521	1122	1188
SPANXN4	3	560	83	6	471	188
SPANXN3	2	590	84	80	426	348
SLITRK4	2	8545	226	5805	2514	2564
SPANXN2	2	1378	755	80	543	465
UBE2NL	1	1185	30	693	462	492
SPANXN1	2	1276	759	298	219	144
SLITRK2	1	7672	4255	879	2538	6793
TMEM257	1	2441	268	1837	336	604
CXorf51B	2	436	8	101	327	195
CXorf51A	2	431	3	101	327	195
FMR1	17	4308	128	2281	1899	162
FMR1NB	6	1021	74	179	768	136
IDS	9	7619	210	5756	1653	473
AF011889.5	9	2635	1412	203	1020	473
CXorf40A	6	1524	567	516	441	9
RP5-937E21.8	2	1184	0	182	1002	519
MAGEA9B	4	1807	280	579	948	1013
HSFX2	2	1365	16	77	1272	708
TMEM185A	7	2840	332	1455	1053	245
MAGEA11	5	1864	102	472	1290	1024
HSFX1	2	1963	614	77	1272	708
MAGEA9	4	1814	287	579	948	1013
MAGEA8	4	2112	549	606	957	1020
CXorf40B	6	1440	453	546	441	9
XX-FW81066F1.2	2	1184	0	182	1002	519
HMGB3	5	3560	96	2861	603	138
GPR50	2	1951	69	28	1854	1667
VMA21	4	693	123	99	471	143
PRRG3	4	1303	49	558	696	528
FATE1	5	1072	85	435	552	132
CNGA2	6	2834	33	806	1995	1406
MAGEA4	3	1724	218	552	954	1019
GABRE	9	3152	54	1577	1521	384
MAGEA10	5	2741	433	1198	1110	1175
GABRQ	9	6172	20	4253	1899	741
MAGEA2B	5	1946	446	555	945	1010
CSAG1	5	875	328	310	237	70
MAGEA12	3	1761	262	554	945	1020
MAGEA2	6	2009	509	555	945	1010
MAGEA6	3	1740	225	570	945	1010
NSDHL	9	1630	261	247	1122	333
PNMA5	4	3198	424	1427	1347	1470
PNMA3	3	3627	336	1923	1368	63
PNMA6A	2	2209	253	756	1200	1328
MAGEA1	3	1710	219	561	930	995
LL0XNC01-16G2.1	2	3348	354	1257	1737	1820
ZNF275	5	6320	177	5153	990	20
U82695.5	3	2596	220	1266	1110	967
ZFP92	4	6105	1	4853	1251	986
TREX2	13	2262	1551	0	711	745
BGN	8	2402	186	1109	1107	198
ATP2B3	21	4280	326	291	3663	321
FAM58A	5	1306	113	446	747	90
DUSP9	4	2289	113	1021	1155	326
PNCK	12	1508	68	408	1032	138
SLC6A8	13	3763	476	1379	1908	141
BCAP31	8	1589	408	440	741	39
ABCD1	10	3664	399	1027	2238	247
PLXNB3	37	6377	271	307	5799	105
SRPK3	21	4479	2366	208	1905	185
IDH3G	13	1485	197	106	1182	102
SSR4	7	1671	1084	65	522	105
PDZD4	8	3689	192	1187	2310	1548
AVPR2	4	1763	209	438	1116	206
ARHGAP4	23	3372	58	353	2961	234
NAA10	8	1772	319	745	708	237
RENBP	11	1388	81	23	1284	119
HCFC1	26	8869	967	1794	6108	40
TMEM187	2	1880	747	347	786	999
IRAK1	14	3666	168	1359	2139	59
MECP2	5	1712	232	961	519	87
OPN1LW	6	1261	60	106	1095	111
OPN1MW	6	1242	82	65	1095	111
